"N","min(Mflux)","q1(Mflux)","med(Mflux)","q3(Mflux)","max(Mflux)","avg(Mflux)","std(Mflux)","min(MfluxFinal)","q1(MfluxFinal)","med(MfluxFinal)","q3(MfluxFinal)","max(MfluxFinal)","avg(MfluxFinal)","std(MfluxFinal)","min(MfluxUp)","q1(MfluxUp)","med(MfluxUp)","q3(MfluxUp)","max(MfluxUp)","avg(MfluxUp)","std(MfluxUp)","min(Mfluxs)","q1(Mfluxs)","med(Mfluxs)","q3(Mfluxs)","max(Mfluxs)","avg(Mfluxs)","std(Mfluxs)","min(Species.CO2)","q1(Species.CO2)","med(Species.CO2)","q3(Species.CO2)","max(Species.CO2)","avg(Species.CO2)","std(Species.CO2)","min(U (0))","q1(U (0))","med(U (0))","q3(U (0))","max(U (0))","avg(U (0))","std(U (0))","min(U (1))","q1(U (1))","med(U (1))","q3(U (1))","max(U (1))","avg(U (1))","std(U (1))","min(U (2))","q1(U (2))","med(U (2))","q3(U (2))","max(U (2))","avg(U (2))","std(U (2))","min(U (Magnitude))","q1(U (Magnitude))","med(U (Magnitude))","q3(U (Magnitude))","max(U (Magnitude))","avg(U (Magnitude))","std(U (Magnitude))","min(alpha.phase1)","q1(alpha.phase1)","med(alpha.phase1)","q3(alpha.phase1)","max(alpha.phase1)","avg(alpha.phase1)","std(alpha.phase1)","min(gradalpha1)","q1(gradalpha1)","med(gradalpha1)","q3(gradalpha1)","max(gradalpha1)","avg(gradalpha1)","std(gradalpha1)","min(nu1)","q1(nu1)","med(nu1)","q3(nu1)","max(nu1)","avg(nu1)","std(nu1)","min(p)","q1(p)","med(p)","q3(p)","max(p)","avg(p)","std(p)","min(p_rgh)","q1(p_rgh)","med(p_rgh)","q3(p_rgh)","max(p_rgh)","avg(p_rgh)","std(p_rgh)","min(pc)","q1(pc)","med(pc)","q3(pc)","max(pc)","avg(pc)","std(pc)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
2792,-2.3007e+06,-3.638e-12,0,0,5.8208e-11,-1.1702e+05,4.0901e+05,-2.3007e+06,2.685,348.72,44068,2.6908e+06,58105,6.2835e+05,0,2.685,348.72,44068,2.6908e+06,1.7513e+05,4.32e+05,-1.0732e+06,-24579,-269.91,-2.4031,-0.027655,-96857,2.3265e+05,0.29798,0.30086,0.30429,0.32118,0.73401,0.34491,0.099717,-0.23748,-0.035068,0,0.034793,0.23743,-7.0083e-05,0.080128,-0.20409,-0.025642,0,0.036569,0.42602,0.019116,0.1119,0,0,0,0,0,0,0,0,0.022686,0.063146,0.15692,0.44797,0.098712,0.097772,0.5,1,1,1,1,0.96693,0.11417,0,0,0,0,3.895e+05,29180,87807,3.1345e-07,1.1848e-06,1.2694e-06,1.2873e-06,1.3031e-06,1.1503e-06,2.5504e-07,-632.66,-213.24,-187.7,-159.08,56.854,-193.11,75.151,-122.4,98.536,114.28,118.08,159.66,98.897,39.119,-613.82,-319.69,-296.96,-272,-92.193,-292.01,59.722,0.00015,0.0001644,0.00018,0.0001956,0.00021,0.00018,1.8208e-05,-6e-05,-5.28e-05,-4.44e-05,-3.6e-05,-2.3711e-05,-4.412e-05,9.5839e-06,0,0,5e-06,1e-05,1e-05,5e-06,5.0009e-06,1,1.1866e-05
2894,-1.5581e+06,-0.0027846,0,0,5.8208e-11,-1.0421e+05,3.3625e+05,-1.5581e+06,2.1676,344.75,41976,1.6824e+06,31070,4.921e+05,0,2.1676,344.75,41976,1.6824e+06,1.3528e+05,3.179e+05,-7.3675e+05,-30889,-352.18,-3.5667,-0.0084728,-81137,1.8416e+05,0.29702,0.30497,0.31637,0.37733,0.75447,0.36885,0.11313,-0.085735,-0.013337,0,0.012794,0.085917,-0.00011301,0.028374,-0.044622,-0.0035028,0.00070937,0.026248,0.24472,0.019272,0.052302,0,0,0,0,0,0,0,0,0.0059887,0.028055,0.044538,0.25443,0.039534,0.048462,0.5,1,1,1,1,0.96041,0.12571,0,0,0,0,4.0033e+05,35597,1.0107e+05,2.9359e-07,9.4967e-07,1.2057e-06,1.2657e-06,1.3086e-06,1.0665e-06,2.8538e-07,-366.28,-285.11,-263.73,-228.49,-77.491,-249.66,54.001,-46.742,-6.5479,0.92589,11.257,72.314,3.8984,18.005,-330.43,-278.86,-265.95,-242.84,-96.112,-253.56,43.297,0.00015,0.000162,0.00018,0.000198,0.00021,0.00018,1.889e-05,-6e-05,-5.16e-05,-4.32e-05,-3.48e-05,-1.821e-05,-4.3187e-05,1.0503e-05,0,0,5e-06,1e-05,1e-05,5e-06,5.0009e-06,1,3.1866e-05
2996,-7.4948e+05,-0.017193,0,0,3.2742e-11,-43450,1.4959e+05,-7.4948e+05,0.54924,88.325,13253,8.2263e+05,16578,2.2254e+05,0,0.54924,88.325,13253,8.2266e+05,60028,1.482e+05,-4.0024e+05,-9412.8,-79.011,-0.57987,-0.0018755,-35360,85854,0.31232,0.32629,0.35731,0.45084,0.7794,0.40655,0.11236,-0.023621,-0.0038593,0,0.0038954,0.023762,1.8914e-05,0.0089325,-0.02082,-0.0011739,0.00027061,0.0069202,0.062748,0.0051799,0.014348,0,0,0,0,0,0,0,0,0.0021878,0.0069158,0.017836,0.064586,0.0119,0.013071,0.5,1,1,1,1,0.9647,0.11941,0,0,0,0,3.9986e+05,31173,93551,2.6914e-07,7.1971e-07,1.025e-06,1.1581e-06,1.2287e-06,9.225e-07,2.7101e-07,-261.88,-226.35,-226.05,-225.66,-98.477,-219.2,26.523,-9.6444,7.9537,8.6338,9.2398,15.25,8.4636,1.805,-264.13,-235.24,-234.67,-234.17,-104.29,-227.67,27.536,0.00015,0.0001632,0.00018,0.0001968,0.00021,0.00018,1.8552e-05,-6e-05,-5.16e-05,-4.32e-05,-3.36e-05,-1.8885e-05,-4.2784e-05,1.0519e-05,0,0,5e-06,1e-05,1e-05,5e-06,5.0008e-06,1,0.00010772
3126,-4.2391e+05,-0.13022,0,0,1.0277e-10,-22805,81556,-4.2391e+05,0.15895,31.549,5925,4.9331e+05,10244,1.2297e+05,0,0.15895,31.549,5925,4.9333e+05,33049,83492,-2.215e+05,-4330.6,-27.896,-0.15713,-0.0004564,-19145,48204,0.34712,0.36953,0.41679,0.49673,0.7823,0.44918,0.10143,-0.0052273,-0.00010647,0,9.3557e-05,0.0053252,-2.5062e-05,0.00096797,-0.0002665,-4.1535e-05,3.517e-06,0.00066253,0.0099906,0.0012819,0.0025974,0,0,0,0,0,0,0,0,7.5389e-05,0.0001736,0.00078211,0.010196,0.001468,0.0026781,0.5,1,1,1,1,0.9677,0.11421,0,0,0,0,4.042e+05,28787,89622,2.6561e-07,6.0942e-07,8.1331e-07,9.751e-07,1.0656e-06,7.7383e-07,2.1411e-07,-189.14,-187.59,-187.42,-187,-83.609,-181.57,21.248,-0.80646,1.2099,1.3309,1.5855,6.3704,1.5147,0.63459,-190.75,-188.83,-188.8,-188.76,-84.102,-183.09,21.386,0.00015,0.0001632,0.00018,0.0001968,0.00021,0.00018,1.8492e-05,-6e-05,-5.16e-05,-4.2e-05,-3.36e-05,-1.7595e-05,-4.2036e-05,1.0928e-05,0,0,5e-06,1e-05,1e-05,5e-06,5.0008e-06,1,0.00026379
3224,-3.2399e+05,-0.17964,0,0,8.8221e-11,-15781,58693,-3.2399e+05,0.061603,15.402,3904.7,3.7127e+05,8208.1,89747,0,0.061603,15.402,3904.7,3.713e+05,23989,62105,-1.6914e+05,-2423,-12.39,-0.06411,-0.00016573,-13261,34589,0.39363,0.41299,0.45505,0.51989,0.78361,0.48117,0.088351,-0.0067241,-0.0003068,0,0.00021715,0.0061011,-6.1862e-05,0.0012886,-0.0019196,-0.00011249,2.1177e-07,0.00053466,0.0091036,0.00075361,0.0021221,0,0,0,0,0,0,0,0,9.7536e-05,0.00048811,0.0015789,0.010321,0.0014106,0.0021784,0.5,1,1,1,1,0.96963,0.11102,0,0,0,0,3.997e+05,26646,86409,2.6203e-07,5.6207e-07,7.0598e-07,8.248e-07,8.8761e-07,6.7693e-07,1.5988e-07,-164.29,-161.63,-161.44,-161.17,-70.766,-156.85,17.65,-2.302,-0.91302,-0.84054,-0.75235,1.369,-0.73588,0.38243,-162.74,-160.73,-160.61,-160.47,-70.109,-156.11,17.642,0.00015,0.0001632,0.00018,0.0001968,0.00021,0.00018,1.8402e-05,-6e-05,-5.16e-05,-4.2e-05,-3.24e-05,-1.6908e-05,-4.1494e-05,1.1199e-05,0,0,5e-06,1e-05,1e-05,5e-06,5.0008e-06,1,0.0004411
3314,-2.6109e+05,-0.22874,0,0,7.3669e-11,-12096,45312,-2.6109e+05,0.030685,8.9683,2563,2.9108e+05,6297,69696,0,0.030685,8.9683,2563,2.9109e+05,18393,48602,-1.344e+05,-1682.9,-7.6778,-0.031736,-7.3068e-05,-10111,26692,0.43471,0.45055,0.48357,0.53631,0.78585,0.50719,0.077979,-0.0024285,-0.00013188,0,7.3175e-05,0.0023839,-3.3515e-05,0.00061683,-0.00042198,-3.5417e-05,1.9872e-08,0.00028318,0.0055916,0.00066583,0.0014819,0,0,0,0,0,0,0,0,4.241e-05,0.0001698,0.00053112,0.0058363,0.00085524,0.0015131,0.5,1,1,1,1,0.96982,0.11085,0,0,0,0,3.9671e+05,26233,85688,2.6411e-07,5.3217e-07,6.3754e-07,7.1788e-07,7.6046e-07,6.1034e-07,1.2245e-07,-139.53,-137.83,-137.73,-137.6,-60.759,-133.88,14.935,-0.025045,0.96875,1.0417,1.0718,2.4535,1.0222,0.25187,-140.46,-138.82,-138.77,-138.68,-61.075,-134.9,15.081,0.00015,0.0001632,0.00018,0.0001968,0.00021,0.00018,1.8366e-05,-6e-05,-5.04e-05,-4.08e-05,-3.12e-05,-1.624e-05,-4.0978e-05,1.1479e-05,0,0,5e-06,1e-05,1e-05,5e-06,5.0008e-06,1,0.00063319
3388,-2.0384e+05,-0.21432,0,0,0.16386,-9389.2,35495,-2.0384e+05,0.014765,4.6517,1716,2.0777e+05,3876.6,52604,0,0.014709,4.6517,1716,2.0778e+05,13266,35490,-1.0418e+05,-1073.5,-4.0542,-0.015118,-3.5731e-05,-7793.8,20875,0.46909,0.48161,0.50733,0.54904,0.78681,0.52827,0.068996,-0.0038643,-7.4264e-05,-5.8662e-06,1.8672e-05,0.0036729,-3.088e-05,0.0005959,-0.00035186,-5.009e-06,1.4689e-05,0.00021766,0.0056086,0.00051433,0.0011635,0,0,0,0,0,0,0,0,2.6042e-05,8.1087e-05,0.00041899,0.0059621,0.00063938,0.0012512,0.5,1,1,1,1,0.97042,0.10976,0,0,0,0,3.9219e+05,25812,84859,2.6166e-07,5.0948e-07,5.8685e-07,6.4242e-07,6.713e-07,5.6285e-07,9.6289e-08,-123.9,-122.45,-122.44,-122.39,-54.513,-119,13.258,-0.86878,-0.40568,-0.39161,-0.35064,1.1409,-0.3163,0.21868,-123.39,-122.06,-122.04,-122.02,-54.022,-118.68,13.237,0.00015,0.0001632,0.00018,0.0001968,0.00021,0.00018,1.8303e-05,-6e-05,-5.04e-05,-4.08e-05,-3.12e-05,-1.5768e-05,-4.0567e-05,1.1688e-05,0,0,5e-06,1e-05,1e-05,5e-06,5.0007e-06,1,0.00084385
3446,-1.6166e+05,-0.17255,0,0,0.38915,-7151,27777,-1.6166e+05,0.0085387,3.2769,1212.7,1.7896e+05,4085.7,43175,0,0.0085142,3.2769,1212.7,1.7897e+05,11237,30545,-86498,-776.89,-2.7647,-0.0085295,-1.8677e-05,-6023.5,16414,0.49747,0.50733,0.52681,0.55859,0.78876,0.54543,0.061222,-0.0022206,-0.00010824,-1.8913e-05,2.9508e-06,0.0019828,-5.5512e-05,0.0004346,-0.00044726,-1.059e-05,3.549e-06,0.0001338,0.0042798,0.00038528,0.00093685,0,0,0,0,0,0,0,0,2.3737e-05,9.4551e-05,0.00036692,0.0042825,0.00052062,0.00097315,0.5,1,1,1,1,0.97169,0.10718,0,0,0,0,3.9826e+05,24808,82856,2.6268e-07,4.9318e-07,5.4865e-07,5.8651e-07,6.0702e-07,5.2745e-07,7.7187e-08,-107.32,-106.52,-106.41,-106.36,-46.361,-103.51,11.643,-0.20644,0.16972,0.23845,0.32099,1.3636,0.28924,0.18381,-107.47,-106.73,-106.69,-106.66,-46.537,-103.8,11.668,0.00015,0.0001632,0.00018,0.0001968,0.00021,0.00018,1.828e-05,-6e-05,-5.04e-05,-4.08e-05,-3e-05,-1.5233e-05,-4.0231e-05,1.1877e-05,0,0,5e-06,1e-05,1e-05,5e-06,5.0007e-06,1,0.001075
3502,-1.242e+05,-0.14502,0,0,1168.1,-5602.5,21968,-1.242e+05,0.0045362,2.0226,843.08,1.3694e+05,2640.2,33010,0,0.0044631,2.012,838.62,1.3695e+05,8242.6,22699,-64472,-553.04,-1.8345,-0.0052312,-1.0172e-05,-4647.5,12836,0.52095,0.52899,0.54319,0.56861,0.79043,0.56061,0.05635,-0.0018031,-0.0001173,0,9.0376e-05,0.0017671,-1.4795e-05,0.00048647,-0.00077393,-5.5783e-05,0,0.00017755,0.0036763,0.00025375,0.00078673,0,0,0,0,0,0,0,0,4.255e-05,0.00018785,0.0006649,0.0036778,0.00053139,0.00079861,0.5,1,1,1,1,0.97157,0.10795,0,0,0,0,3.7795e+05,24507,82696,2.6176e-07,4.7718e-07,5.1903e-07,5.4453e-07,5.597e-07,4.9951e-07,6.4877e-08,-99.973,-99.246,-99.229,-99.196,-43.303,-96.582,10.643,-0.48006,-0.20632,-0.19301,-0.1581,0.39411,-0.15158,0.11181,-99.966,-99.059,-99.031,-99.021,-43.058,-96.43,10.648,0.00015,0.0001632,0.00018,0.0001968,0.00021,0.00018,1.8236e-05,-6e-05,-5.04e-05,-3.96e-05,-3e-05,-1.484e-05,-3.9918e-05,1.2039e-05,0,0,5e-06,1e-05,1e-05,5e-06,5.0007e-06,1,0.0013312
3540,-95473,-0.10566,0,0,899.64,-4092.7,16220,-95473,0.002864,1.212,595.1,1.0187e+05,2035,24482,0,0.0028144,1.2039,594.06,1.0187e+05,6127.8,16922,-48653,-382.22,-1.0448,-0.0030848,-6.0232e-06,-3446.4,9600.8,0.5394,0.54602,0.5562,0.57541,0.7915,0.57178,0.051143,-0.00080267,-6.9854e-05,-3.4784e-05,-8.0546e-06,0.00050318,-5.6565e-05,0.00013542,-0.00013353,-1.4383e-06,1.0205e-05,8.7164e-05,0.0022614,0.00024182,0.0005281,0,0,0,0,0,0,0,0,2.8932e-05,5.5876e-05,0.00014707,0.0022734,0.00028895,0.00052479,0.5,1,1,1,1,0.97297,0.10476,0,0,0,0,3.798e+05,23505,80446,2.5878e-07,4.6654e-07,4.9691e-07,5.1405e-07,5.2566e-07,4.7982e-07,5.5141e-08,-89.63,-88.281,-88.277,-88.259,-39.807,-86.05,9.1095,-0.43678,-0.14501,-0.13654,-0.10971,0.33811,-0.10816,0.074937,-89.531,-88.15,-88.139,-88.128,-39.643,-85.942,9.1083,0.00015,0.0001632,0.00018,0.0001968,0.00021,0.00018,1.8214e-05,-6e-05,-5.04e-05,-3.96e-05,-2.88e-05,-1.4547e-05,-3.9699e-05,1.2157e-05,0,0,5e-06,1e-05,1e-05,5e-06,5.0007e-06,1,0.0015993
